"plan_id","name","edu_section_binary","edu_section_detail","edu_strategy","edu_what","edu_target_audience","edu_content_type","edu_topic","edu_staff_binary","edu_staff_detail","edu_funding_binary","edu_funding_detail","edu_outcome_binary","edu_outcome_detail","edu_indicator_binary","edu_indicator_detail","obs_id"
28,"Otter Rock Marine Reserve",1,"Outreach and Engagement","To increase the public’s and decision makers’ knowledge of the ecological and human dimensions research being conducted, thereby increasing their understanding of marine reserves and ocean resources in general","Media marketing and science communication","Local residents; General public; Government officials; Visitors; Fishers","Development; Implementation","EE",1,"Oregon Department of Fish and Wildlife",0,"Not specified",1,"Marine reserves implementation helps build capacity within local communities’ for stewardship of ocean resources",0,"N/A","155"
28,"Otter Rock Marine Reserve",1,"Outreach and Engagement","To create meaningful opportunities for the general public to provide information and feedback to Oregon Department of Fish and Wildlife marine reserves staff","Evaluation of strategy","Local residents; General public; Visitors; Fishers","Development; Implementation; Evaluation","Other",1,"Oregon Department of Fish and Wildlife",0,"Not specified",1,"Marine reserves are an opportunity for the public to engage in cooperative and collaborative research, monitoring, and compliance activities",0,"N/A","156"
28,"Otter Rock Marine Reserve",1,"Outreach and Engagement","To provide a meaningful way for communities associated with marine reserve sites to engage in research, monitoring, and compliance activities","Collaborate on restoration and monitoring efforts","Local residents; General public; Visitors; Fishers","Development; Implementation","EE and compliance",1,"Oregon Department of Fish and Wildlife",0,"Not specified",1,"Marine reserves are an opportunity for the public to engage in cooperative and collaborative research, monitoring, and compliance activities",0,"N/A","157"
28,"Otter Rock Marine Reserve",1,"Outreach and Engagement","To encourage communities associated with marine reserve sites to develop site specific goals that are compatible with the goals and objectives of marine reserves","Targeted material toward local livelihoods","Local residents; General public; Visitors; Fishers","Development; Implementation","Other",1,"Oregon Department of Fish and Wildlife",0,"Not specified",1,"Marine reserves implementation helps build capacity within local communities’ for stewardship of ocean resources",0,"N/A","158"
28,"Otter Rock Marine Reserve",1,"Outreach and Engagement","Marine reserve interpretive and regulatory signs will be designed by ODFW and the Oregon Parks and Recreation Department, with assistance from members of NSAT, the NSAT human dimensions working group, and Oregon State Police.","Improve signage and target communication of park rules","General public; Visitors; Local residents; Fishers","Development; Implementation","EE and compliance",1,"Oregon Department of Fish and Wildlife",0,"Not specified",1,"The public has the necessary information and tools to comply with marine reserves regulations",0,"N/A","159"
28,"Otter Rock Marine Reserve",1,"Outreach and Engagement","Marine reserve informational brochures are to be designed by ODFW and the Oregon Parks and Recreation Department, with assistance from members of the NSAT human dimensions working group.","Media marketing and science communication","General public; Visitors","Development; Implementation","Compliance",1,"Oregon Department of Fish and Wildlife",0,"Not specified",1,"The public has the necessary information and tools to comply with marine reserves regulations",0,"N/A","160"
28,"Otter Rock Marine Reserve",1,"Outreach and Engagement","Oregon Department of Fish and Wildlife and the Department of Land Conservation and Development will revamp the state’s marine reserves website to focus on marine reserves implementation.","Media marketing and science communication","General public; Visitors","Development; Implementation","Compliance",1,"Oregon Department of Fish and Wildlife",0,"Not specified",1,"The public has the necessary information and tools to comply with marine reserves regulations",0,"N/A","161"
29,"Redfish Rocks Marine Reserve",1,"Outreach and Education","Develop programs for formal and informal educators that promote an understanding of and support for marine reserves, marine protected areas and ocean literacy.","School presentations and/or workshops","Schools, students, and educators; Local residents; General public; Visitors","Development; Implementation","EE",1,"Oregon Department of Fish and Wildlife; Redfish Rocks Community Team",0,"Not specified",1,"Promote an understanding of and support for marine reserves and marine protected areas",0,"N/A","162"
29,"Redfish Rocks Marine Reserve",1,"Outreach and Education","Host a series of speakers that will enhance the understanding and awareness of marine reserves and marine protected areas","Collaborate toward community presentations and/or workshops","Local residents; General public; Visitors","Development; Implementation","EE",1,"Oregon Department of Fish and Wildlife; Redfish Rocks Community Team",0,"Not specified",1,"Promote ocean literacy",0,"N/A","163"
29,"Redfish Rocks Marine Reserve",1,"Outreach and Education","Conduct outreach on developments related to Redfish Rocks through various media outlets.","Media marketing and science communication","Media journalists; General public","Development; Implementation","EE",1,"Oregon Department of Fish and Wildlife; Redfish Rocks Community Team",0,"Not specified",1,"Build understanding of and compliance for the regulations in Redfish Rocks",0,"N/A","164"
29,"Redfish Rocks Marine Reserve",1,"Outreach and Education","Develop and distribute interpretive and educational materials.","Media marketing and science communication","Schools, students, and educators; Local residents; General public; Visitors","Development; Implementation","EE",1,"Oregon Department of Fish and Wildlife; Redfish Rocks Community Team",0,"Not specified",1,"Communicate scientific activities and results related to Redfish Rocks",0,"N/A","165"
29,"Redfish Rocks Marine Reserve",1,"Outreach and Education","Host and participate in a variety of events that increase the understanding and awareness of marine reserves and marine protected areas.","Park administration presentations in science forums","Local residents; General public; Visitors","Development; Implementation","EE",1,"Oregon Department of Fish and Wildlife; Redfish Rocks Community Team",0,"Not specified",1,"Promote an understanding of and support for marine reserves and marine protected areas",0,"N/A","166"
29,"Redfish Rocks Marine Reserve",1,"Outreach and Education","Create volunteer opportunities that allow community members to become stewards of Redfish Rocks.","Local volunteer/steward program","Local residents; General public; Visitors; Volunteers; Community leaders","Development; Implementation","EE",1,"Oregon Department of Fish and Wildlife; Redfish Rocks Community Team",0,"Not specified",1,"Promote an understanding of the unique natural and historical resources of Redfish Rocks",0,"N/A","167"
29,"Redfish Rocks Marine Reserve",1,"Outreach and Education","Seek relationships with community members, school districts, agencies, organizations and other parties.","Invest in broad organization relationships","Organizations as potential collaborators; Schools, students, and educators; Local residents; General public; Visitors; Government officials","Development; Implementation","Not directly stated",1,"Oregon Department of Fish and Wildlife; Redfish Rocks Community Team",0,"Not specified",1,"Build partnerships and collaborate with formal and informal educators, community groups, organizations and government agencies",0,"N/A","168"
29,"Redfish Rocks Marine Reserve",1,"Outreach and Education","Seek funding opportunities to generate funds for outreach and education programs.","Collaborate toward community presentations and/or workshops","Park administration; Organizations as potential collaborators","Development; Implementation","EE",1,"Oregon Department of Fish and Wildlife; Redfish Rocks Community Team",0,"Not specified",1,"Promote an understanding of and support for marine reserves and marine protected areas",0,"N/A","169"
30,"Cascade Head Marine Reserve",1,"B. OUTREACH STRATEGIES","Maps and rules summaries on the Oregon marine reserves website","Improve signage and target communication of park rules","General public; Visitors","Implementation","Compliance",1,"Oregon Department of Fish and Wildlife",0,"Not specified",1,"Deliver information to commercial fishermen, sport fishermen, and the general public on the prohibitions and allowances of the Cascade Head site.",0,"N/A","170"
30,"Cascade Head Marine Reserve",1,"B. OUTREACH STRATEGIES","Maps and rules summaries in the Oregon sport fishing regulations guide, printed annually.","Improve signage and target communication of park rules","General public; Visitors; Fishers","Implementation","Compliance",1,"Oregon Department of Fish and Wildlife",0,"Not specified",1,"Deliver information to commercial fishermen, sport fishermen, and the general public on the prohibitions and allowances of the Cascade Head site.",0,"N/A","171"
30,"Cascade Head Marine Reserve",1,"B. OUTREACH STRATEGIES","Maps and rules summaries in the synopsis of commercial fishing regulations, booklet printed annually","Improve signage and target communication of park rules","General public; Visitors; Fishers","Implementation","Compliance",1,"Oregon Department of Fish and Wildlife",0,"Not specified",1,"Deliver information to commercial fishermen, sport fishermen, and the general public on the prohibitions and allowances of the Cascade Head site.",0,"N/A","172"
31,"Cape Perpetua Marine Reserve",1,"COMPLIANCE, OUTREACH, AND EDUCATION OPPORTUNITES","Digital hospitality packet developed by the Cape Perpetua Collaborative and Oregon Coast Visitors Association.","Improve visitor infrastructure","General public; Local residents; Visitors","Implementation","Not directly stated",1,"Cape Perpetua Collaborative and Oregon Coast Visitors Association",0,"Not specified",0,"N/A",0,"N/A","173"
31,"Cape Perpetua Marine Reserve",1,"COMPLIANCE, OUTREACH, AND EDUCATION OPPORTUNITES","Tidepool tours led by US Forest Service seasonally.","Collaborate toward community presentations and/or workshops","Visitors","Implementation","EE",1,"US Forest Service",0,"Not specified",0,"N/A",0,"N/A","174"
31,"Cape Perpetua Marine Reserve",1,"COMPLIANCE, OUTREACH, AND EDUCATION OPPORTUNITES","Cape Perpetua Collaborative docent program.","Local volunteer/steward program","Local residents; Volunteers; Visitors","Implementation","EE",1,"Cape Perpetua Collaborative",0,"Not specified",0,"N/A",0,"N/A","175"
32,"Nestucca Bay National Wildlife Refuge",1,"Objective 11.1 Provide high-quality environmental education opportunities for children and adults","a. Hire a full-time permanent Environmental Education Specialist","Park staff leadership development, training, and/or expansion","Park administration; Visitors; Schools, students, and educators","Development; Implementation","EE",1,"U.S. Fish and Wildlife Service staff",0,"Not specified",1,"Throughout the life of the CCP, provide quality hands-on environmental education programs to community groups and schools with an emphasis on the themes of habitat restoration, climate change, invasive species management, and the natural history of white-cheeked geese.",0,"N/A","176"
32,"Nestucca Bay National Wildlife Refuge",1,"Objective 11.1 Provide high-quality environmental education opportunities for children and adults","b. Seek grant opportunities to develop curriculum and programming","Collaborate toward community presentations and/or workshops","Park administration; Visitors; Schools, students, and educators","Development; Implementation","EE",1,"U.S. Fish and Wildlife Service staff",0,"Not specified",1,"Throughout the life of the CCP, provide quality hands-on environmental education programs to community groups and schools with an emphasis on the themes of habitat restoration, climate change, invasive species management, and the natural history of white-cheeked geese.",0,"N/A","177"
32,"Nestucca Bay National Wildlife Refuge",1,"Objective 11.1 Provide high-quality environmental education opportunities for children and adults","c. Develop a nature discovery backpack check-out program","Improve visitor infrastructure","Visitors","Development; Implementation","EE",1,"U.S. Fish and Wildlife Service staff",0,"Not specified",1,"Throughout the life of the CCP, provide quality hands-on environmental education programs to community groups and schools with an emphasis on the themes of habitat restoration, climate change, invasive species management, and the natural history of white-cheeked geese.",0,"N/A","178"
32,"Nestucca Bay National Wildlife Refuge",1,"Objective 11.1 Provide high-quality environmental education opportunities for children and adults","d. Recruit, train and utilize volunteers to deliver on-site environmental education programs","Local volunteer/steward program","Park administration; Visitors; Local residents; Community leaders; Volunteers","Development; Implementation","EE",1,"U.S. Fish and Wildlife Service staff; Volunteers; Interns",0,"Not specified",1,"Throughout the life of the CCP, provide quality hands-on environmental education programs to community groups and schools with an emphasis on the themes of habitat restoration, climate change, invasive species management, and the natural history of white-cheeked geese.",0,"N/A","179"
32,"Nestucca Bay National Wildlife Refuge",1,"Objective 11.1 Provide high-quality environmental education opportunities for children and adults","e. Collaborate with partners to enhance environmental education opportunities and to ensure refuge programming is unique and does not conflict with other programming in the county","Collaborate toward community presentations and/or workshops","Organizations as potential collaborators; Park administration","Development; Implementation","EE",1,"U.S. Fish and Wildlife Service staff",0,"Not specified",1,"Throughout the life of the CCP, provide quality hands-on environmental education programs to community groups and schools with an emphasis on the themes of habitat restoration, climate change, invasive species management, and the natural history of white-cheeked geese.",0,"N/A","180"
32,"Nestucca Bay National Wildlife Refuge",1,"Objective 11.1 Provide high-quality environmental education opportunities for children and adults","f. Develop and implement evaluation techniques to maintain program quality","Evaluation of strategy","Park administration; Visitors","Development; Implementation; Evaluation","EE",1,"U.S. Fish and Wildlife Service staff",0,"Not specified",1,"Throughout the life of the CCP, provide quality hands-on environmental education programs to community groups and schools with an emphasis on the themes of habitat restoration, climate change, invasive species management, and the natural history of white-cheeked geese.",0,"N/A","181"
32,"Nestucca Bay National Wildlife Refuge",1,"Objective 11.1 Provide high-quality environmental education opportunities for children and adults","g. Partner with schools to engage students in hands-on learning and stewardship","School presentations and/or workshops","Schools, students, and educators","Development; Implementation","EE",1,"U.S. Fish and Wildlife Service staff",0,"Not specified",1,"Throughout the life of the CCP, provide quality hands-on environmental education programs to community groups and schools with an emphasis on the themes of habitat restoration, climate change, invasive species management, and the natural history of white-cheeked geese.",0,"N/A","182"
32,"Nestucca Bay National Wildlife Refuge",1,"Objective 11.1 Provide high-quality environmental education opportunities for children and adults","h. Foster long-term support for the environmental education program with the assistance of the refuge friends group once established","Local volunteer/steward program","Park administration; Visitors; Local residents; Volunteers; Organizations as potential collaborators","Development; Implementation","EE",1,"U.S. Fish and Wildlife Service staff; Volunteers; Interns",0,"Not specified",1,"Throughout the life of the CCP, provide quality hands-on environmental education programs to community groups and schools with an emphasis on the themes of habitat restoration, climate change, invasive species management, and the natural history of white-cheeked geese.",0,"N/A","183"
32,"Nestucca Bay National Wildlife Refuge",1,"Objective 11.1 Provide high-quality environmental education opportunities for children and adults","i. Engage adults through citizen science programs","Collaborate on restoration and monitoring efforts","Park administration; Visitors; Local residents; Volunteers","Development; Implementation","EE",1,"U.S. Fish and Wildlife Service staff; Volunteers; Interns",0,"Not specified",1,"Throughout the life of the CCP, provide quality hands-on environmental education programs to community groups and schools with an emphasis on the themes of habitat restoration, climate change, invasive species management, and the natural history of white-cheeked geese.",0,"N/A","184"
32,"Nestucca Bay National Wildlife Refuge",1,"Objective 11.1 Provide high-quality environmental education opportunities for children and adults","j. Evaluate effectiveness of environmental education efforts through pre- and post-program evaluations for students and surveys for teachers","Evaluation of strategy","Park administration; Schools, students, and educators","Evaluation","EE",1,"U.S. Fish and Wildlife Service staff",0,"Not specified",1,"Throughout the life of the CCP, provide quality hands-on environmental education programs to community groups and schools with an emphasis on the themes of habitat restoration, climate change, invasive species management, and the natural history of white-cheeked geese.",0,"N/A","185"
33,"Siletz Bay National Wildlife Refuge",1,"5.3.4 Environmental Education","The largest and most requested EE program is the Shorebird Sister Schools Program (SSSP).","School presentations and/or workshops","Schools, students, and educators","Development; Implementation","EE",1,"U.S. Fish and Wildlife Service staff",0,"Not specified",1,"The Refuge offers environmental education (EE) programs both on and off-site to help promote an understanding of fish and wildlife, their habitats, and the Refuge Complex.",0,"N/A","186"
33,"Siletz Bay National Wildlife Refuge",1,"5.3.4 Environmental Education","Expose a new audience to the Refuge and to teach them about the importance of estuaries and estuarine restoration to fish and wildlife.","School presentations and/or workshops","Schools, students, and educators","Development; Implementation","EE",1,"U.S. Fish and Wildlife Service staff",0,"Not specified",1,"The Refuge offers environmental education (EE) programs both on and off-site to help promote an understanding of fish and wildlife, their habitats, and the Refuge Complex.",0,"N/A","187"
34,"Namuncurá - Banco Burdwood",1,"Program 4. Communication and environmental education","Inform the general public through websites, audiovisual campaigns and other tools, articulating with other initiatives related to the theme.","Media marketing and science communication","General public","Development; Implementation","EE",1,"Head of the Cabinet of Ministers",0,"Not specified",1,"To make the general public and the educational community aware of the importance of Banco Burdwood as an Marine Protected Area.",0,"N/A","188"
34,"Namuncurá - Banco Burdwood",1,"Program 4. Communication and environmental education","Organize educational campaigns aimed at primary education, middle and higher levels, using graphic media and virtual platforms.","School presentations and/or workshops","Schools, students, and educators","Development; Implementation","EE",1,"Head of the Cabinet of Ministers",0,"Not specified",1,"To make the general public and the educational community aware of the importance of Banco Burdwood as an Marine Protected Area.",0,"N/A","189"
35,"Coral Sea Natural Park - Atolls d'Entrecasteaux",0,"N/A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"190"
36,"Gwaii Haanas National Marine Conservation Area Reserve",1,"Enhance public awareness of and appreciation for Gwaii Haanas","Increase awareness of, and connection to, Gwaii Haanas at local, national and international levels","Collaborate with Indigenous communities to conserve","Local residents; General public; Gwaii Haanas residents; Schools, students, and educators","Development; Implementation","EE",1,"Archipelago Management Board",0,"Not specified",1,"Increase awareness of, and connection to, Gwaii Haanas at local, national and international levels",1,"1. Participation in Gwaii Haanas outreach and engagement programs (e.g., local and regional speaker series) increases by 20%.","191"
36,"Gwaii Haanas National Marine Conservation Area Reserve",1,"Enhance public awareness of and appreciation for Gwaii Haanas","Build awareness of the Gwaii Haanas cooperative management relationship","Collaborate with Indigenous communities to conserve","Local residents; Gwaii Haanas residents; Organizations as potential collaborators","Development; Implementation","EE",1,"Archipelago Management Board",0,"Not specified",1,"Build awareness of the Gwaii Haanas cooperative management relationship",1,"1. Haida Gwaii residents and the broader public have multiple opportunities to learn about Gwaii Haanas every year (e.g., past and present human uses, cooperative management, Haida law).","192"
37,"Pieh Island Tourism Park (Taman Wisata Perairan Pulau Pieh dan Laut di Sekitarnya)",1,"b. Level of Public Awareness in Utilizing Resources","[Raise] public awareness of the importance of water conservation area on the sustainability of fish resources and other biota.","Community presentations and/or workshops","Local residents; General public","Development; Implementation","EE",0,"N/A",0,"Not specified",0,"N/A",0,"N/A","193"
38,"Anambas Islands (KKPN Kepulauan Anambas dan laut Sekitarnya)",1,"g. Research and Education Activities at TWP","The Surrounding Seas started in 2011 namely Basic Training Basic Water Conservation, Planning Training 2011 MPA Management and Zoning, and research carried out by several students from the High School Fisheries (STP).","Collaborate toward community presentations and/or workshops","Schools, students, and educators; Local residents; Park administration","Development; Implementation","EE",0,"N/A",0,"Not specified",0,"N/A",0,"N/A","194"
39,"Derawan Islands (KKPD Kepulauan Derawan dan Perairan Sekitarnya)",0,"N/A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"195"
40,"Nusa Penida (KKP Nusa Penida)",1,"7) Implementation of various training and education related to the management of the Nusa Penida MPA","7.1. Patrol SOP implementation training","Park staff leadership development, training, and/or expansion","Park administration; Local residents; Fishers","Development; Implementation","Compliance",1,"Management and partners",1,"50,000,000 Indonesian rupiah",1,"Effective governance of KKP Yang",1,"To be accomplished in Years 3 and 5","196"
40,"Nusa Penida (KKP Nusa Penida)",1,"7) Implementation of various training and education related to the management of the Nusa Penida MPA","7.2. Scientific diving training and introduction to marine biodiversity","Park staff leadership development, training, and/or expansion","Park administration","Development; Implementation","EE",1,"Management and partners",1,"50,000,000 Indonesian rupiah",1,"Effective governance of KKP Yang",1,"To be accomplished in Years 1, 2, 3, 4, and 5","197"
40,"Nusa Penida (KKP Nusa Penida)",1,"7) Implementation of various training and education related to the management of the Nusa Penida MPA","7.4. Training on effective MPA design and management","Park staff leadership development, training, and/or expansion","Park administration","Development; Implementation","Other",1,"Management and partners",1,"50,000,000 Indonesian rupiah",1,"Effective governance of KKP Yang",1,"To be accomplished in Years 1, 3, and 5","198"
40,"Nusa Penida (KKP Nusa Penida)",1,"7) Implementation of various training and education related to the management of the Nusa Penida MPA","7.5. Marine Rescue Training","Improve visitor infrastructure","Park administration; Visitors","Development; Implementation","Other",1,"Management and partners",1,"50,000,000 Indonesian rupiah",1,"Effective governance of KKP Yang",1,"To be accomplished in Years 1, 2, 3, 4, and 5","199"
40,"Nusa Penida (KKP Nusa Penida)",1,"7) Implementation of various training and education related to the management of the Nusa Penida MPA","7.6. Coral reef, fish and seagrass monitoring training for the community","Collaborate on restoration and monitoring efforts","Park administration; Local residents","Development; Implementation","EE",1,"Management and partners",1,"50,000,000 Indonesian rupiah",1,"Effective governance of KKP Yang",1,"To be accomplished in Years 1,2, and 3","200"
40,"Nusa Penida (KKP Nusa Penida)",1,"7) Implementation of various training and education related to the management of the Nusa Penida MPA","7.9. Conflict resolution training","Park staff leadership development, training, and/or expansion","Park administration; Local residents; Fishers","Development; Implementation","Compliance",1,"Management and partners",1,"35,000,000 Indonesian rupiah",1,"Effective governance of KKP Yang",1,"To be accomplished in Years 2 and 4, and in Phase II","201"
41,"Kapoposong (KKPN Kepulauan Kapoposang)",1,"3) implementation of empowerment and awareness raising community (Public Awareness) in and around national water conservation areas","Awareness campaign","Community presentations and/or workshops","Local residents","Development; Implementation","EE",1,"Kupang KKPN Hall",0,"Not specified",1,"Awareness of Kupang KKPN Hall on fish resources, pamphlets were well conveyed, participants were aware of conservation activities carried out by using conservation",0,"N/A","202"
41,"Kapoposong (KKPN Kepulauan Kapoposang)",1,"3) implementation of empowerment and awareness raising community (Public Awareness) in and around national water conservation areas","Making posters and pamphlets","Media marketing and science communication","Visitors; Local residents; General public","Development; Implementation","EE",1,"Kupang KKPN Hall",0,"Not specified",1,"Awareness of Kupang KKPN Hall on fish resources, pamphlets were well conveyed, participants were aware of conservation activities carried out by using conservation",0,"N/A","203"
41,"Kapoposong (KKPN Kepulauan Kapoposang)",1,"3) implementation of empowerment and awareness raising community (Public Awareness) in and around national water conservation areas","Conservation boat field trip for elementary school children in the area","School presentations and/or workshops","Schools, students, and educators","Development; Implementation","EE",1,"Kupang KKPN Hall",0,"Not specified",1,"Awareness of Kupang KKPN Hall on fish resources, pamphlets were well conveyed, participants were aware of conservation activities carried out by using conservation",0,"N/A","204"
41,"Kapoposong (KKPN Kepulauan Kapoposang)",1,"3) implementation of empowerment and awareness raising community (Public Awareness) in and around national water conservation areas","Community outreach for mobilizing the participation of the conservation stakeholders","Community presentations and/or workshops","Local residents; Community leaders","Development; Implementation","Not directly stated",1,"Kupang KKPN Hall",0,"Not specified",1,"The community supports activities",0,"N/A","205"
42,"Laut Banda (KKPN Laut Banda)",1,"Education and Training for Team Conservation Banda Sea including SATKER Marine TWP band","Training on the Design of Marine Protected Areas","Park staff leadership development, training, and/or expansion","Organizations as potential collaborators; Park administration","Development; Implementation","Not directly stated",1,"Institutional Management",0,"Not specified",1,"Increased staff knowledge about area management conservation and increased number of hall staff",1,"Completed in Year 1 of Phase 1 (2014-2019)","206"
42,"Laut Banda (KKPN Laut Banda)",1,"Education and Training for Team Conservation Banda Sea including SATKER Marine TWP band",NA,"Park staff leadership development, training, and/or expansion","Organizations as potential collaborators; Park administration","Development; Implementation","Not directly stated",1,"Institutional Management",0,"Not specified",1,"Increased staff knowledge about designing Conservation area",1,"Completed in Year 1 of Phase 1 (2014-2019)","207"
42,"Laut Banda (KKPN Laut Banda)",1,"Education and Training for Team Conservation Banda Sea including SATKER Marine TWP band","Effective MPA Management Training and management adaptive ones","Park staff leadership development, training, and/or expansion","Organizations as potential collaborators; Park administration","Development; Implementation","Not directly stated",1,"Institutional Management",0,"Not specified",1,"Increased  staff knowledge about managing the conservation area optimum",1,"Completed in Year 1 of Phase 1 (2014-2019)","208"
42,"Laut Banda (KKPN Laut Banda)",1,"Education and Training for Team Conservation Banda Sea including SATKER Marine TWP band","Scientific Diving Training and Ecosystem Introduction and Important coastal and marine biota","Park staff leadership development, training, and/or expansion","Organizations as potential collaborators; Park administration","Development; Implementation","EE",1,"Institutional Management",0,"Not specified",1,"Increased staff knowledge in diving and recognize biota ecosystems coast",1,"Completed in Year 1 of Phase 1 (2014-2019)","209"
42,"Laut Banda (KKPN Laut Banda)",1,"Education and Training for Team Conservation Banda Sea including SATKER Marine TWP band","Comparative studies or visits to other MPAs that have well managed","Evaluation of strategy","Organizations as potential collaborators; Park administration","Development; Implementation","Not directly stated",1,"Institutional Management",0,"Not specified",1,"Increased  staff knowledge about managing the conservation area optimum",1,"Completed in Year 1 of Phase 1 (2014-2019)","210"
42,"Laut Banda (KKPN Laut Banda)",1,"Education and Training for Team Conservation Banda Sea including SATKER Marine TWP band","Facilitation Technical Training","Park staff leadership development, training, and/or expansion","Organizations as potential collaborators; Park administration","Development; Implementation","Not directly stated",1,"Institutional Management",0,"Not specified",1,"Increased staff knowledge",1,"Completed in Years 1, 3, and 5 of Phase 1 (2014-2019) and strengthened in Phases II, III, and IV","211"
42,"Laut Banda (KKPN Laut Banda)",1,"Education and Training for Team Conservation Banda Sea including SATKER Marine TWP band","Patrol and Law Enforcement Training","Park staff leadership development, training, and/or expansion","Organizations as potential collaborators; Park administration","Development; Implementation","Compliance",1,"Institutional Management",0,"Not specified",1,"Increased knowledge staff on law enforcement",1,"Completed in Years 2 and 4 of Phase 1 (2014-2019) and strengthened in Phases II, III, and IV","212"
43,"Pulau Weh (KKP Pesisir Timur Pulau Weh)",1,"2 Increasing public awareness about the cleanliness of beaches and the preservation of natural resources.","Dissemination of regional boundaries and zones within and the existing rules for fishermen on the island","Targeted material toward local livelihoods","Fishers; Local residents","Development; Implementation","Compliance",1,"Pulau Weh Management",1,"100,000,000 Indonesian rupiah",0,"N/A",0,"N/A","213"
43,"Pulau Weh (KKP Pesisir Timur Pulau Weh)",1,"2 Increasing public awareness about the cleanliness of beaches and the preservation of natural resources.","Community economic development through the provision of low interest loans for micro, small and medium scale fisheries businesses","Promote alternative livelihoods","Local residents; Fishers","Development; Implementation","Compliance",1,"Pulau Weh Management",1,"500,000,000 Indonesian rupiah",0,"N/A",0,"N/A","214"
44,"Komodo National Park",1,"8.4 ENVIRONMENTAL EDUCATION AND EXPLANATION PROGRAM","A comprehensive environmental education program started in 1996 and is still ongoing and includes various topics.","Community presentations and/or workshops","Local residents; Community leaders","Development; Implementation","EE",1,"National Park Management",0,"Not specified",0,"N/A",0,"N/A","215"
44,"Komodo National Park",1,"8.4 ENVIRONMENTAL EDUCATION AND EXPLANATION PROGRAM","Meetings with fishing communities about (a) the purpose of establishing a conservation area with its zoning system, (b) management of a conservation area, and (c) laws and regulations on conservation areas and on conservation in general.","Targeted material toward local livelihoods","Fishers; Local residents","Development; Implementation","Compliance",1,"National Park Management",0,"Not specified",1,"The contents of this program will include (a) the purpose of establishing a conservation area with its zoning system, (b) management of a conservation area, and (c) laws and regulations on conservation areas and on conservation in general.",0,"N/A","216"
44,"Komodo National Park",1,"8.4 ENVIRONMENTAL EDUCATION AND EXPLANATION PROGRAM","An outreach program for government officials will also emphasize aspects of National Park management (laws and regulations, zoning systems, etc.).","Invest in broad organization relationships","Government officials","Development; Implementation","Compliance",1,"National Park Management",0,"Not specified",1,"Sources of conflict and contradiction in the laws and regulations of different agencies will be identified and in the subsequent discussion should be able to reconcile differences.",0,"N/A","217"
44,"Komodo National Park",1,"8.4 ENVIRONMENTAL EDUCATION AND EXPLANATION PROGRAM","Joint program will be developed with universities in Kupang (UNDANA), Mataram (UNRAM), Denpasar (UDAYANA) and Ujung Pandang (UNHAS), and others.","Invest in broad organization relationships","Scientists; University students","Development; Implementation","Other",1,"National Park Management",0,"Not specified",1,"KNP will provide support to groups of students who carry out real work lectures (requirements before writing a thesis).",0,"N/A","218"
44,"Komodo National Park",1,"8.4 ENVIRONMENTAL EDUCATION AND EXPLANATION PROGRAM","Several joint programs will be developed with certain NGOs. NGOs will be invited to seminars discussing policies and strategies to protect National Park resources.","Collaborate toward community presentations and/or workshops","Organizations as potential collaborators","Development; Implementation","EE",1,"National Park Management",0,"Not specified",1,"KNP will support local NGOs in community outreach programs through the shared use of extension materials.",0,"N/A","219"
44,"Komodo National Park",1,"8.4 ENVIRONMENTAL EDUCATION AND EXPLANATION PROGRAM","Komodo National Park (KNP) will work closely with local, national and international mass media in such a way that new articles about KNP's conservation program will appear periodically, for example in POS KUPANG (at least once a month) and at DIAN (four times a year).","Media marketing and science communication","Media journalists; General public","Development; Implementation","Not directly stated",1,"National Park Management",0,"Not specified",1,"Media staff will be invited to participate in seminars and workshops organized by KNP",1,"KNP's conservation program will appear periodically, for example in POS KUPANG (at least once a month) and at DIAN (four times a year).","220"
44,"Komodo National Park",1,"8.4 ENVIRONMENTAL EDUCATION AND EXPLANATION PROGRAM","The management of the National Park needs to support the development of the NGO, since A fully functioning local environmental NGO in the near future could assist the National Park Authority in various aspects of National Park management, and fill the gap for an effective community awareness facilitator on the ground.","Collaborate toward community presentations and/or workshops","Organizations as potential collaborators","Development; Implementation","Not directly stated",1,"National Park Management",0,"Not specified",0,"N/A",0,"N/A","221"
45,"Gulf of Mannar Marine National Park and Biosphere Reserve",1,"Chapter 20: Interpretation, Education, Eco-Tourism and Visitors Management Action Plan","To promote wildlife education","Community presentations and/or workshops","General public; Local residents; Visitors; Scientists","Development; Implementation","EE",0,"N/A",0,"Not specified",1,"Interpretation and imparting Conservation Education on the importance of coastal and marine environments and its biodiversity for visitors and local communities of the Gulf of Mannar Biosphere Reserve is consider to be an important activity of the Management Plan.",0,"N/A","222"
45,"Gulf of Mannar Marine National Park and Biosphere Reserve",1,"Chapter 20: Interpretation, Education, Eco-Tourism and Visitors Management Action Plan","To promote conservation awareness","Community presentations and/or workshops","General public; Local residents; Visitors; Scientists","Development; Implementation","EE",0,"N/A",0,"Not specified",1,"Interpretation and imparting Conservation Education on the importance of coastal and marine environments and its biodiversity for visitors and local communities of the Gulf of Mannar Biosphere Reserve is consider to be an important activity of the Management Plan.",0,"N/A","223"
